group,variable,value
CY,2019-1-1,56.3
CY,2020-1-1,56.9
CY,2021-1-1,57.0
CY,2022-1-1,57.3
CY,2023-1-1,60.7
LV,2013-1-1,55.2
LV,2015-1-1,56.2
LV,2017-1-1,57.9
LV,2019-1-1,59.7
LV,2020-1-1,60.8
LV,2021-1-1,62.1
LV,2022-1-1,61.4
LV,2023-1-1,61.5
LT,2013-1-1,54.9
LT,2015-1-1,54.2
LT,2017-1-1,56.8
LT,2019-1-1,55.5
LT,2020-1-1,56.3
LT,2021-1-1,58.4
LT,2022-1-1,60.6
LT,2023-1-1,64.1
LU,2013-1-1,61.2
LU,2015-1-1,65.9
LU,2017-1-1,69.0
LU,2019-1-1,69.2
LU,2020-1-1,70.3
LU,2021-1-1,72.4
LU,2022-1-1,73.5
LU,2023-1-1,74.7
HU,2013-1-1,52.4
HU,2015-1-1,51.8
HU,2017-1-1,50.8
HU,2019-1-1,51.9
HU,2020-1-1,53.0
HU,2021-1-1,53.4
HU,2022-1-1,54.2
HU,2023-1-1,57.3
MT,2013-1-1,54.4
MT,2015-1-1,57.8
MT,2017-1-1,60.1
MT,2019-1-1,62.5
MT,2020-1-1,63.4
MT,2021-1-1,65.0
MT,2022-1-1,65.6
MT,2023-1-1,67.8
NL,2013-1-1,74.0
NL,2015-1-1,74.0
NL,2017-1-1,72.9
NL,2019-1-1,72.1
NL,2020-1-1,74.1
NL,2021-1-1,75.9
NL,2022-1-1,77.3
NL,2023-1-1,77.9
AT,2013-1-1,58.7
AT,2015-1-1,61.3
AT,2017-1-1,63.3
AT,2019-1-1,65.3
AT,2020-1-1,66.5
AT,2021-1-1,68.0
AT,2022-1-1,68.8
AT,2023-1-1,71.2
PL,2013-1-1,55.5
PL,2015-1-1,56.9
PL,2017-1-1,56.8
PL,2019-1-1,55.2
PL,2020-1-1,55.8
PL,2021-1-1,56.6
PL,2022-1-1,57.7
PL,2023-1-1,61.9
PT,2013-1-1,53.7
PT,2015-1-1,54.4
PT,2017-1-1,56.0
PT,2019-1-1,59.9
PT,2020-1-1,61.3
