group,variable,value
ES,1-1-2022,74.6
ES,1-6-2022,75.5
ES,1-1-2023,76.4
ES,1-6-2023,75.5
FR,1-1-2013,67.5
FR,1-6-2013,68.2
FR,1-1-2015,68.9
FR,1-6-2015,70.8
FR,1-1-2017,72.6
FR,1-6-2017,73.6
FR,1-1-2019,74.6
FR,1-6-2019,74.8
FR,1-1-2020,75.1
FR,1-6-2020,75.3
FR,1-1-2021,75.5
FR,1-6-2021,75.3
FR,1-1-2022,75.1
FR,1-6-2022,75.4
FR,1-1-2023,75.7
FR,1-6-2023,75.4
HR,1-1-2013,52.3
HR,1-6-2013,52.4
HR,1-1-2015,52.6
HR,1-6-2015,52.8
HR,1-1-2017,53.1
HR,1-6-2017,54.4
HR,1-1-2019,55.6
HR,1-6-2019,56.8
HR,1-1-2020,57.9
HR,1-6-2020,58.6
HR,1-1-2021,59.2
HR,1-6-2021,60.0
HR,1-1-2022,60.7
HR,1-6-2022,60.7
HR,1-1-2023,60.7
HR,1-6-2023,60.7
IT,1-1-2013,53.3
IT,1-6-2013,54.9
IT,1-1-2015,56.5
IT,1-6-2015,59.3
IT,1-1-2017,62.1
IT,1-6-2017,62.6
IT,1-1-2019,63.0
IT,1-6-2019,63.2
IT,1-1-2020,63.5
IT,1-6-2020,63.6
IT,1-1-2021,63.8
IT,1-6-2021,64.4
IT,1-1-2022,65.0
IT,1-6-2022,66.6
IT,1-1-2023,68.2
IT,1-6-2023,66.6
CY,1-1-2013,49.0
CY,1-6-2013,49.8
CY,1-1-2015,50.6
CY,1-6-2015,52.8
CY,1-1-2017,55.1
CY,1-6-2017,55.7
CY,1-1-2019,56.3
CY,1-6-2019,56.6
CY,1-1-2020,56.9
CY,1-6-2020,57.0
CY,1-1-2021,57.0
CY,1-6-2021,57.2
CY,1-1-2022,57.3
CY,1-6-2022,59.0
CY,1-1-2023,60.7
CY,1-6-2023,59.0
LV,1-1-2013,55.2
LV,1-6-2013,55.7
LV,1-1-2015,56.2
LV,1-6-2015,57.0
LV,1-1-2017,57.9
LV,1-6-2017,58.8
LV,1-1-2019,59.7
LV,1-6-2019,60.2
LV,1-1-2020,60.8
LV,1-6-2020,61.4
LV,1-1-2021,62.1
LV,1-6-2021,61.8
LV,1-1-2022,61.4
LV,1-6-2022,61.4
LV,1-1-2023,61.5
LV,1-6-2023,61.4
LT,1-1-2013,54.9
LT,1-6-2013,54.6
LT,1-1-2015,54.2
LT,1-6-2015,55.5
LT,1-1-2017,56.8
LT,1-6-2017,56.2
LT,1-1-2019,55.5
LT,1-6-2019,55.9
LT,1-1-2020,56.3
LT,1-6-2020,57.4
LT,1-1-2021,58.4
LT,1-6-2021,59.5
LT,1-1-2022,60.6
LT,1-6-2022,62.4
LT,1-1-2023,64.1
LT,1-6-2023,62.4
LU,1-1-2013,61.2
LU,1-6-2013,63.6
LU,1-1-2015,65.9
LU,1-6-2015,67.4
LU,1-1-2017,69.0
LU,1-6-2017,69.1
LU,1-1-2019,69.2
LU,1-6-2019,69.8
LU,1-1-2020,70.3
LU,1-6-2020,71.4
LU,1-1-2021,72.4
LU,1-6-2021,73.0
LU,1-1-2022,73.5
LU,1-6-2022,74.1
LU,1-1-2023,74.7
LU,1-6-2023,74.1
HU,1-1-2013,52.4
HU,1-6-2013,52.1
HU,1-1-2015,51.8
HU,1-6-2015,51.3
HU,1-1-2017,50.8
HU,1-6-2017,51.4
HU,1-1-2019,51.9
HU,1-6-2019,52.4
HU,1-1-2020,53.0
HU,1-6-2020,53.2
HU,1-1-2021,53.4
HU,1-6-2021,53.8
HU,1-1-2022,54.2
HU,1-6-2022,55.8
HU,1-1-2023,57.3
HU,1-6-2023,55.8
MT,1-1-2013,54.4
MT,1-6-2013,56.1
MT,1-1-2015,57.8
MT,1-6-2015,59.0
MT,1-1-2017,60.1
MT,1-6-2017,61.3
MT,1-1-2019,62.5
MT,1-6-2019,63.0
MT,1-1-2020,63.4
MT,1-6-2020,64.2
MT,1-1-2021,65.0
MT,1-6-2021,65.3
MT,1-1-2022,65.6
MT,1-6-2022,66.7
MT,1-1-2023,67.8
MT,1-6-2023,66.7
NL,1-1-2013,74.0
NL,1-6-2013,74.0
NL,1-1-2015,74.0
NL,1-6-2015,73.4
NL,1-1-2017,72.9
NL,1-6-2017,72.5
NL,1-1-2019,72.1
NL,1-6-2019,73.1
NL,1-1-2020,74.1
NL,1-6-2020,75.0
NL,1-1-2021,75.9
NL,1-6-2021,76.6
NL,1-1-2022,77.3
NL,1-6-2022,77.6
NL,1-1-2023,77.9
NL,1-6-2023,77.6
AT,1-1-2013,58.7
AT,1-6-2013,60.0
AT,1-1-2015,61.3
AT,1-6-2015,62.3
AT,1-1-2017,63.3
AT,1-6-2017,64.3
AT,1-1-2019,65.3
AT,1-6-2019,65.9
AT,1-1-2020,66.5
AT,1-6-2020,67.2
AT,1-1-2021,68.0
AT,1-6-2021,68.4
AT,1-1-2022,68.8
AT,1-6-2022,70.0
AT,1-1-2023,71.2
AT,1-6-2023,70.0
PL,1-1-2013,55.5
PL,1-6-2013,56.2
PL,1-1-2015,56.9
PL,1-6-2015,56.8
PL,1-1-2017,56.8
PL,1-6-2017,56.0
PL,1-1-2019,55.2
PL,1-6-2019,55.5
PL,1-1-2020,55.8
PL,1-6-2020,56.2
PL,1-1-2021,56.6
PL,1-6-2021,57.2
PL,1-1-2022,57.7
PL,1-6-2022,59.8
PL,1-1-2023,61.9
PL,1-6-2023,59.8
PT,1-1-2013,53.7
PT,1-6-2013,54.0
PT,1-1-2015,54.4
PT,1-6-2015,55.2
PT,1-1-2017,56.0
PT,1-6-2017,58.0
PT,1-1-2019,59.9
PT,1-6-2019,60.6
PT,1-1-2020,61.3
PT,1-6-2020,61.8
PT,1-1-2021,62.2
PT,1-6-2021,62.5
PT,1-1-2022,62.8
PT,1-6-2022,65.1
PT,1-1-2023,67.4
PT,1-6-2023,65.1
RO,1-1-2013,50.8
RO,1-6-2013,51.0
RO,1-1-2015,51.2
RO,1-6-2015,51.8
RO,1-1-2017,52.4
RO,1-6-2017,53.4
RO,1-1-2019,54.5
RO,1-6-2019,54.4
RO,1-1-2020,54.4
RO,1-6-2020,54.4
RO,1-1-2021,54.5
RO,1-6-2021,54.1
RO,1-1-2022,53.7
RO,1-6-2022,54.9
RO,1-1-2023,56.1
RO,1-6-2023,54.9
SI,1-1-2013,62.7
SI,1-6-2013,64.4
SI,1-1-2015,66.1
SI,1-6-2015,67.2
SI,1-1-2017,68.4
SI,1-6-2017,68.4
SI,1-1-2019,68.3
SI,1-6-2019,68.0
SI,1-1-2020,67.7
SI,1-6-2020,67.6
SI,1-1-2021,67.6
SI,1-6-2021,67.6
SI,1-1-2022,67.5
SI,1-6-2022,68.4
SI,1-1-2023,69.4
SI,1-6-2023,68.4
SK,1-1-2013,53.0
SK,1-6-2013,52.7
SK,1-1-2015,52.4
SK,1-6-2015,52.4
SK,1-1-2017,52.4
SK,1-6-2017,53.2
SK,1-1-2019,54.1
SK,1-6-2019,54.8
SK,1-1-2020,55.5
SK,1-6-2020,55.8
SK,1-1-2021,56.0
SK,1-6-2021,56.0
SK,1-1-2022,56.0
SK,1-6-2022,57.6
SK,1-1-2023,59.2
SK,1-6-2023,57.6
FI,1-1-2013,73.1
FI,1-6-2013,73.8
FI,1-1-2015,74.4
FI,1-6-2015,73.7
FI,1-1-2017,73.0
FI,1-6-2017,73.2
FI,1-1-2019,73.4
FI,1-6-2019,74.1
FI,1-1-2020,74.7
FI,1-6-2020,75.0
FI,1-1-2021,75.3
FI,1-6-2021,75.4
FI,1-1-2022,75.4
FI,1-6-2022,74.9
FI,1-1-2023,74.4
FI,1-6-2023,74.9
SE,1-1-2013,80.1
SE,1-6-2013,79.9
SE,1-1-2015,79.7
SE,1-6-2015,81.2
SE,1-1-2017,82.6
SE,1-6-2017,83.1
SE,1-1-2019,83.6
SE,1-6-2019,83.7
SE,1-1-2020,83.8
SE,1-6-2020,83.8
SE,1-1-2021,83.9
SE,1-6-2021,83.9
SE,1-1-2022,83.9
SE,1-6-2022,83.1
SE,1-1-2023,82.2
SE,1-6-2023,83.1
